X,Y,Z,Roll,Pitch,Yaw
0.522375696,0.231543248,0.040626242,33.4,0.41,-1.4
1.389498835,1.546126346,0.003371195,24.72,-1.24,-0.95
1.755938109,0.475307714,0.116826902,16.67,-4.27,2.37
0.660945066,0.065360413,0.042415919,34.31,0.54,-1.48
1.208255464,1.837819111,-0.003227229,24.68,-1.26,-0.94
0.966791821,1.659616726,0.116064534,16.92,-4.22,2.36
1.964484183,1.306635703,0.046270601,32.98,0.37,-1.4
0.056428199,1.943502828,-0.00352438,19.34,-1.74,-0.7
0.274403756,1.205563699,0.049053204,24.44,-3.51,2.21
0.287431458,0.559516181,0.114678771,16.3,-1.09,-0.78
0.246599765,1.688680186,0.038019345,32.97,0,0
1.122291705,0.207134941,-0.050549587,24.47,0,0
1.981521054,1.944956342,0.114135499,16,-4.17,2.35
1.817953346,0.227078002,0.015012259,67.43,0,0
0.350752907,1.839777255,-0.021409701,-28.7,0,0
1.807531025,0.843296497,0.028412651,35.41,0,0
1.460659722,0.130484888,-0.001303345,24.43,0,0
1.983320025,0.442365013,0.113683369,16.5,-0.96,-0.83
0.868557978,1.161560728,0.012263508,67.54,0,0
1.28738337,1.736135929,-0.003955875,-28.8,0,0
1.405690948,1.114464914,0.017306202,67.62,0,0
0.203813718,1.422989275,-0.001398183,-28.58,0,0
0.053571951,1.621711079,0.020121883,0,0,0
1.275334738,0.840564123,-0.003707436,-20.48,0,0
0.105795178,0.108336404,0.113613824,16.88,-4.03,2.27
1.362998155,0.530358337,-0.205606498,2.65,-1.99,2.8
0.913198092,1.258892097,0.00874273,41.13,0,0
1.840581969,0.721086193,-0.039697478,-27.47,0,0
0.525821162,0.501408605,0.012263508,0,0,0
1.261263696,1.279099511,-0.016882692,-20.39,0,0
0.25,1.09506364,0.113954587,16.44,-4,2.25
0,-0.25,-0.002143441,17.08,-1.01,-0.87
1,-1,-0.010815882,16.73,-0.99,-0.86
0.25,-0.25,0.00843808,16.79,-4.14,2.27
0.5,0,-0.002359726,16.75,-1,-0.88
0.75,-0.5,-0.001028927,16.71,-4.19,2.28
0.75,-0.5,-0.0041694,16.72,-4.13,2.26
0.855677126,-1,-0.005489304,16.53,-4.14,2.25
0.676150862,0.121604746,-0.175513897,3.3,-2.14,2.8
1,1.5,0.097630718,-11.55,-4.27,2.52
1,0.25,0.00065066,16.71,-4.19,2.27
0.5,-0.75,-0.002236213,16.56,-1.05,-0.87
0.25,-0.25,-0.004761003,16.88,-4.17,2.25
-0.25,0.25,0.006834223,16.65,-1.06,-0.87
0.5,0,0.001165439,16.62,-1.03,-0.88
0,-0.75,-0.001171341,16.59,-4.18,2.25
0,0,0,16.57,-4.19,2.25
0,-0.25,-0.002236213,16.53,-4.19,2.25
0.137873718,0,-0.001138853,16.13,-1.09,-0.87
0,-0.25,-0.180407751,3.45,-2.14,2.8
1.395346837,0.25,0.001680491,-23.74,-2.15,3.04
0.5,-0.5,0.096519284,-10.99,-4.19,2.48
0,-0.25,-0.005678294,16.27,-4.21,2.25
0,0,0.001537339,16.27,-1.13,-0.86
-0.25,0.25,-0.00626475,16.01,-4.18,2.26
0.25,-0.25,0.00489279,16.11,-4.25,2.27
0.25,0.25,-0.004806295,16.15,-4.22,2.27
0.5,0.5,0.000644213,16.59,-1.1,-0.86
0,0.25,-0.00028496,16.91,-1.04,-0.87
0.75,0.25,-0.002946103,16.95,-1.05,-0.87
0.545476814,0,0.005620765,17.54,-4.1,2.24
1.822749353,-0.5,-0.166413846,3.26,-2.12,2.8
1,1,0.092684667,-8.93,-1.03,-0.67
0.5,-0.5,-0.001800476,18.73,-0.91,-0.92
0.25,0.5,0.000684567,19.31,-4,2.2
-0.75,0,-0.002424555,18.99,-3.99,2.19
-0.5,0,-0.000662272,19.02,-4.03,2.21
-1,0,-0.004389257,18.68,-4.03,2.22
-1.5,0,-0.004737926,18.59,-0.91,-0.91
-1.75,0,-0.002274247,18.02,-0.95,-0.88
-1.75,0,-0.004976787,17.64,-4.08,2.27
1.814240185,0.25,-0.008606677,17.31,-1.01,-0.83
1.049281908,-1.25,-0.119504173,3.01,-1.96,2.8
0.079128898,1.5,0.070193538,-10.44,-4.35,2.56
-1.5,0.25,-0.004226713,15.46,-4.25,2.38
-1.5,0.75,-0.00597231,15.8,-4.23,2.39
-1.5,0.5,-0.003395272,15.19,-4.23,2.41
-1.5,0.25,-0.004828002,15.01,-4.25,2.43
-1,0.75,-0.004302474,14.81,-1.14,-0.68
-1.25,0,-0.00134286,14.61,-4.23,2.46
-1.25,0.5,-0.005171184,14.03,-4.26,2.48
-0.25,1,-0.003055847,14.38,-4.27,2.49
1.650965392,0.75,0.000286639,14.19,-1.12,-0.63
0.725906287,1.780631128,-0.062514251,3.42,-1.67,2.8
0,-0.5,0.045085009,25.64,0,0
-0.5,0,-0.005025502,11.24,0,0
0,0,-0.002464866,11.23,0,0
-0.5,1.682175249,-0.003900935,-28.51,0,0
-0.5,-0.25,-0.005056251,13.22,-1.13,-0.58
1,0.37463629,-0.000872445,52.88,0,0
-1,1.791204292,-0.000168255,4.67,0,0
-2,0.25,-0.00335546,50.96,-4.99,1.94
-0.5,1.746225841,0.003604841,56.88,0,0
0.638807936,0,-0.002359889,10.99,0,0
